                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3614,                 3.2672,                 1.6321,                0.57206,                0.58646,                0.58832,                0.32497,                 1.4283,                 1.9841,                 1.7668,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.3991,                 2.3203,                 1.5896,                0.68885,                0.62006,                0.66727,                0.35399,                 1.5362,                 1.8839,                 1.8724,              0.0065992,              0.0065992,              0.0065992
                      3,                 1.4882,                  2.144,                 1.6503,                0.68794,                0.62459,                0.67366,                0.34175,                 1.6045,                 1.7441,                 1.9226,              0.0098005,              0.0098005,              0.0098005
                      4,                 1.5347,                 2.0137,                  1.673,                0.74141,                0.64666,                0.70536,                0.36376,                 1.6162,                 1.5194,                 1.9217,               0.009703,               0.009703,               0.009703
                      5,                 1.5044,                 1.7709,                 1.6476,                0.73443,                0.73595,                0.77994,                0.41973,                 1.5094,                 1.3138,                 1.8345,               0.009703,               0.009703,               0.009703
                      6,                 1.4794,                 1.5915,                 1.6153,                0.80402,                0.75689,                0.79844,                0.43146,                 1.5311,                 1.1627,                 1.8289,               0.009604,               0.009604,               0.009604
                      7,                 1.4384,                 1.4915,                 1.5894,                0.86545,                0.78749,                0.85757,                0.47247,                 1.4818,                 1.0502,                 1.7954,               0.009505,               0.009505,               0.009505
                      8,                 1.4286,                 1.4083,                 1.5784,                0.87407,                0.80806,                0.87547,                 0.5015,                  1.445,                0.97952,                 1.7517,               0.009406,               0.009406,               0.009406
                      9,                 1.4033,                 1.3609,                 1.5641,                0.88999,                0.82569,                0.89339,                0.51133,                 1.4296,                0.90699,                 1.7229,               0.009307,               0.009307,               0.009307
                     10,                 1.3906,                 1.3024,                 1.5457,                0.87171,                0.83924,                0.89273,                0.51985,                 1.4239,                0.89522,                  1.732,               0.009208,               0.009208,               0.009208
                     11,                 1.3841,                 1.2591,                 1.5377,                0.90211,                0.85092,                0.91146,                0.52634,                 1.4369,                0.84468,                 1.7118,               0.009109,               0.009109,               0.009109
                     12,                 1.3617,                 1.2177,                 1.5219,                0.88759,                0.84797,                0.90685,                0.52923,                 1.4009,                0.83517,                   1.71,                0.00901,                0.00901,                0.00901
                     13,                 1.3538,                 1.1784,                  1.517,                0.91663,                0.85467,                0.91832,                0.53653,                 1.4014,                0.79519,                 1.6924,               0.008911,               0.008911,               0.008911
                     14,                 1.3419,                 1.1686,                 1.5122,                0.91056,                0.85505,                 0.9143,                0.54055,                   1.39,                0.78072,                 1.6974,               0.008812,               0.008812,               0.008812
                     15,                 1.3339,                 1.1346,                  1.501,                0.92958,                0.86721,                0.92982,                0.54823,                 1.3754,                0.74984,                 1.6671,               0.008713,               0.008713,               0.008713
                     16,                 1.3231,                 1.1098,                 1.4996,                0.91218,                0.86286,                0.92103,                0.54365,                 1.3925,                0.76182,                 1.6754,               0.008614,               0.008614,               0.008614
                     17,                 1.3182,                 1.1003,                 1.4857,                0.92259,                0.88281,                0.93218,                 0.5541,                 1.3706,                0.73103,                 1.6628,               0.008515,               0.008515,               0.008515
                     18,                  1.315,                 1.0733,                 1.4898,                0.92216,                0.89312,                0.93974,                0.56597,                 1.3637,                 0.7143,                 1.6472,               0.008416,               0.008416,               0.008416
                     19,                 1.3067,                 1.0576,                 1.4747,                0.92198,                0.89707,                0.94118,                0.56312,                 1.3633,                0.69998,                 1.6524,               0.008317,               0.008317,               0.008317
                     20,                  1.301,                 1.0335,                  1.473,                0.93489,                0.88885,                0.94588,                0.56975,                   1.34,                0.68924,                 1.6272,               0.008218,               0.008218,               0.008218
                     21,                 1.2953,                 1.0257,                 1.4688,                0.93492,                0.89407,                0.94497,                0.56485,                   1.36,                0.67516,                  1.643,               0.008119,               0.008119,               0.008119
                     22,                 1.2829,                 1.0131,                 1.4576,                0.93873,                0.89135,                0.94787,                0.57675,                 1.3302,                0.66634,                 1.6178,                0.00802,                0.00802,                0.00802
                     23,                   1.29,                0.99922,                 1.4607,                 0.9311,                0.89001,                0.94192,                0.56609,                 1.3521,                0.67958,                 1.6313,               0.007921,               0.007921,               0.007921
                     24,                 1.2685,                0.97308,                 1.4478,                0.93588,                0.90058,                0.94859,                0.58112,                 1.3246,                 0.6559,                 1.6172,               0.007822,               0.007822,               0.007822
