                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98332,                 0.6306,                 1.2524,                0.95139,                0.89874,                0.94701,                0.61816,                 1.2457,                0.57127,                 1.5397,             0.00023786,             0.00023786,             0.00023786
                      2,                 1.0111,                0.66269,                 1.2714,                0.95186,                0.89024,                0.94522,                0.60239,                 1.2788,                0.59285,                 1.5717,             0.00046644,             0.00046644,             0.00046644
                      3,                 1.0508,                0.71408,                 1.3031,                0.94026,                0.88674,                 0.9369,                0.60165,                 1.2534,                0.60601,                 1.5362,             0.00068559,             0.00068559,             0.00068559
                      4,                 1.0656,                0.73642,                 1.3123,                 0.9296,                0.89903,                0.94187,                0.58825,                 1.3093,                0.61962,                 1.5894,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.0714,                0.74113,                 1.3113,                0.92711,                0.88346,                0.93405,                0.59521,                 1.2809,                0.64723,                 1.5724,             0.00067159,             0.00067159,             0.00067159
                      6,                  1.068,                0.72058,                  1.311,                 0.9299,                0.88469,                0.93673,                0.59649,                  1.288,                0.63406,                 1.5618,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0688,                0.72451,                 1.3144,                0.94097,                 0.8831,                0.93709,                 0.6058,                 1.2383,                0.60717,                 1.5271,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.0578,                0.72082,                 1.3035,                 0.9236,                0.88399,                0.93037,                 0.6049,                 1.2378,                0.59816,                 1.5258,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.0608,                 0.7103,                  1.308,                0.94275,                0.89162,                0.94047,                0.60038,                 1.2909,                0.60571,                 1.5709,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0495,                0.70348,                  1.303,                0.93486,                0.88919,                0.93503,                0.59522,                 1.2656,                0.60575,                 1.5431,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.0509,                0.70894,                 1.3031,                0.93382,                0.89877,                0.94137,                0.60454,                 1.2573,                0.59722,                  1.551,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.0551,                0.69472,                 1.3009,                0.93965,                 0.9024,                 0.9404,                0.61408,                 1.2551,                0.58881,                 1.5462,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.0421,                0.68709,                 1.2931,                0.94655,                0.89219,                0.94149,                0.61131,                 1.2537,                0.58979,                 1.5401,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.0351,                0.68358,                 1.2923,                0.92478,                0.88919,                0.93256,                0.59868,                 1.2624,                0.61455,                  1.553,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.0371,                0.68119,                 1.2905,                0.93602,                0.89309,                0.93864,                0.60016,                 1.2578,                0.58712,                 1.5558,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.0331,                0.68516,                 1.2931,                0.94188,                0.88521,                0.93984,                0.61963,                 1.2249,                0.59027,                 1.5095,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.0303,                0.66694,                 1.2841,                0.94665,                0.89302,                 0.9415,                0.60806,                 1.2509,                0.57941,                 1.5286,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.0216,                0.66026,                 1.2828,                0.93179,                0.89991,                0.94065,                0.61125,                  1.257,                0.59837,                 1.5552,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.0282,                0.66405,                 1.2909,                0.94198,                0.91206,                0.94824,                0.60983,                 1.2619,                0.56904,                 1.5462,             0.00047367,             0.00047367,             0.00047367
                     20,                  1.023,                0.65615,                 1.2862,                0.94415,                0.89481,                0.93992,                0.60692,                 1.2334,                0.57518,                 1.5306,             0.00045953,             0.00045953,             0.00045953
