                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3195,                 3.3395,                 1.5884,                0.51748,                0.51677,                0.49951,                0.28625,                 1.3761,                 2.2253,                 1.7004,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.3577,                 2.3795,                 1.5551,                0.64517,                0.63517,                0.68646,                0.39437,                 1.4049,                  1.899,                 1.7341,              0.0065987,              0.0065987,              0.0065987
                      3,                 1.4404,                 2.2214,                 1.6177,                0.66982,                0.62321,                0.66797,                0.36481,                 1.5384,                 1.7822,                 1.8931,              0.0098001,              0.0098001,              0.0098001
                      4,                 1.4938,                 2.0773,                  1.653,                 0.7128,                0.61147,                0.68652,                0.37753,                 1.5162,                 1.7144,                 1.8448,               0.009703,               0.009703,               0.009703
                      5,                 1.4686,                 1.8455,                 1.6299,                0.75118,                0.70162,                 0.7544,                0.42915,                 1.4411,                 1.3327,                 1.7623,               0.009703,               0.009703,               0.009703
                      6,                 1.4304,                 1.6518,                 1.5917,                0.78033,                0.73637,                 0.7844,                 0.4467,                 1.4537,                 1.2311,                 1.7463,               0.009604,               0.009604,               0.009604
                      7,                 1.4199,                 1.5463,                 1.5796,                0.81587,                0.75582,                0.81703,                0.48714,                 1.3877,                 1.1353,                 1.6941,               0.009505,               0.009505,               0.009505
                      8,                 1.3902,                 1.4514,                 1.5466,                0.82834,                0.76591,                0.82299,                0.49997,                 1.3619,                 1.0899,                 1.6688,               0.009406,               0.009406,               0.009406
                      9,                  1.376,                 1.3946,                 1.5449,                0.87649,                0.76128,                0.85567,                0.50681,                 1.3984,                 1.0272,                 1.6823,               0.009307,               0.009307,               0.009307
                     10,                 1.3588,                 1.3219,                 1.5269,                0.85954,                0.80046,                 0.8626,                0.52251,                 1.3418,                0.94696,                 1.6386,               0.009208,               0.009208,               0.009208
                     11,                 1.3524,                 1.2748,                 1.5183,                0.84799,                0.82102,                0.87877,                0.52392,                 1.3602,                0.91579,                 1.6541,               0.009109,               0.009109,               0.009109
                     12,                 1.3329,                 1.2373,                 1.5021,                0.88405,                0.82626,                0.89187,                0.53808,                 1.3715,                0.86741,                 1.6642,                0.00901,                0.00901,                0.00901
                     13,                 1.3119,                 1.1973,                 1.4864,                0.87611,                0.81652,                 0.8778,                 0.5376,                 1.3419,                0.88427,                  1.628,               0.008911,               0.008911,               0.008911
                     14,                 1.3098,                 1.1816,                 1.4878,                0.88932,                0.81714,                0.89079,                 0.5511,                 1.3239,                0.86025,                 1.6172,               0.008812,               0.008812,               0.008812
                     15,                 1.2989,                 1.1538,                 1.4753,                 0.8962,                0.82365,                0.88333,                0.54495,                  1.336,                 0.8759,                 1.6211,               0.008713,               0.008713,               0.008713
                     16,                 1.2893,                 1.1438,                 1.4725,                 0.8965,                0.82446,                0.90051,                0.55503,                 1.3405,                0.82616,                 1.6206,               0.008614,               0.008614,               0.008614
                     17,                 1.2824,                 1.1073,                 1.4586,                0.88224,                0.84683,                0.89079,                0.55491,                 1.3097,                0.82035,                 1.5884,               0.008515,               0.008515,               0.008515
